Filename, Kind, Pa, Pb, Pc, Nref, Ndet, Corr, Insert, Sub, Delete, Precision, Recall, F-m, AEEER,Nref, Ndet, Corr, Insert, Sub, Delete, Precision, Recall, F-m, AEEER, Corr, Insert, Sub, Delete, Precision, Recall, F-m, AEEER 
script01,  USUAL,  0.60,  0.10, 15,  3784,  9216,  2642,  1545,  5029,  1142,  28.6675347222222,  69.8202959830867,  40.6461538461538,  2.03911205073996,  36,  286,  20,  206,  60,  16,  6.99300699300699,  55.5555555555556,  12.4223602484472,  7.83333333333333,  17,  260,  9,  19,  5.94405594405594,  47.2222222222222,  10.5590062111801,  8, 
script01,  IEEE,  0.60,  0.10, 15,  3784,  9216,  2642,  6574,  1142,  1142,  28.6675347222222,  69.8202959830867,  40.6461538461538,  2.34090909090909,  36,  286,  20,  266,  16,  16,  6.99300699300699,  55.5555555555556,  12.4223602484472,  8.27777777777778,  17,  269,  19,  19,  5.94405594405594,  47.2222222222222,  10.5590062111801,  8.52777777777778, 
script02,  USUAL,  0.60,  0.10, 15,  2901,  6253,  1866,  1365,  3022,  1035,  29.8416759955221,  64.3226473629783,  40.7690627048285,  1.86901068597036,  35,  201,  20,  139,  42,  15,  9.95024875621891,  57.1428571428571,  16.9491525423729,  5.6,  15,  170,  16,  20,  7.46268656716418,  42.8571428571429,  12.7118644067797,  5.88571428571429, 
script02,  IEEE,  0.60,  0.10, 15,  2901,  6253,  1866,  4387,  1035,  1035,  29.8416759955221,  64.3226473629783,  40.7690627048285,  2.22578421234057,  35,  201,  20,  181,  15,  15,  9.95024875621891,  57.1428571428571,  16.9491525423729,  6.02857142857143,  15,  186,  20,  20,  7.46268656716418,  42.8571428571429,  12.7118644067797,  6.45714285714286, 
script03,  USUAL,  0.60,  0.10, 15,  2947,  7721,  1846,  2053,  3822,  1101,  23.9088201010232,  62.6399728537496,  34.6081739782527,  2.36715303698677,  39,  229,  24,  165,  40,  15,  10.4803493449782,  61.5384615384615,  17.910447761194,  5.64102564102564,  18,  193,  18,  21,  7.86026200873363,  46.1538461538462,  13.4328358208955,  5.94871794871795, 
script03,  IEEE,  0.60,  0.10, 15,  2947,  7721,  1846,  5875,  1101,  1101,  23.9088201010232,  62.6399728537496,  34.6081739782527,  2.74075330844927,  39,  229,  24,  205,  15,  15,  10.4803493449782,  61.5384615384615,  17.910447761194,  6.02564102564103,  18,  211,  21,  21,  7.86026200873363,  46.1538461538462,  13.4328358208955,  6.48717948717949, 
